"","ensemblid","symbol","gene_biotype","entrezid"
"ENSG00000000003","ENSG00000000003","TSPAN6","protein_coding",7105
"ENSG00000000005","ENSG00000000005","TNMD","protein_coding",64102
"ENSG00000000419","ENSG00000000419","DPM1","protein_coding",8813
"ENSG00000000457","ENSG00000000457","SCYL3","protein_coding",57147
"ENSG00000000460","ENSG00000000460","C1orf112","protein_coding",55732
"ENSG00000000938","ENSG00000000938","FGR","protein_coding",2268
"ENSG00000000971","ENSG00000000971","CFH","protein_coding",3075
"ENSG00000001036","ENSG00000001036","FUCA2","protein_coding",2519
"ENSG00000001084","ENSG00000001084","GCLC","protein_coding",2729
"ENSG00000001167","ENSG00000001167","NFYA","protein_coding",4800
"ENSG00000001460","ENSG00000001460","STPG1","protein_coding",90529
"ENSG00000001461","ENSG00000001461","NIPAL3","protein_coding",57185
"ENSG00000001497","ENSG00000001497","LAS1L","protein_coding",81887
"ENSG00000001561","ENSG00000001561","ENPP4","protein_coding",22875
"ENSG00000001617","ENSG00000001617","SEMA3F","protein_coding",6405
"ENSG00000001626","ENSG00000001626","CFTR","protein_coding",1080
"ENSG00000001629","ENSG00000001629","ANKIB1","protein_coding",54467
"ENSG00000001630","ENSG00000001630","CYP51A1","protein_coding",1595
"ENSG00000001631","ENSG00000001631","KRIT1","protein_coding",889
"ENSG00000002016","ENSG00000002016","RAD52","protein_coding",5893
"ENSG00000002079","ENSG00000002079","MYH16","unitary_pseudogene",NA
"ENSG00000002330","ENSG00000002330","BAD","protein_coding",572
"ENSG00000002549","ENSG00000002549","LAP3","protein_coding",51056
"ENSG00000002586","ENSG00000002586","CD99","protein_coding",4267
"ENSG00000002587","ENSG00000002587","HS3ST1","protein_coding",9957
"ENSG00000002726","ENSG00000002726","AOC1","protein_coding",26
"ENSG00000002745","ENSG00000002745","WNT16","protein_coding",51384
"ENSG00000002746","ENSG00000002746","HECW1","protein_coding",23072
"ENSG00000002822","ENSG00000002822","MAD1L1","protein_coding",8379
"ENSG00000002834","ENSG00000002834","LASP1","protein_coding",3927
"ENSG00000002919","ENSG00000002919","SNX11","protein_coding",29916
"ENSG00000002933","ENSG00000002933","TMEM176A","protein_coding",55365
"ENSG00000003056","ENSG00000003056","M6PR","protein_coding",4074
"ENSG00000003096","ENSG00000003096","KLHL13","protein_coding",90293
"ENSG00000003137","ENSG00000003137","CYP26B1","protein_coding",56603
"ENSG00000003147","ENSG00000003147","ICA1","protein_coding",3382
"ENSG00000003249","ENSG00000003249","DBNDD1","protein_coding",79007
"ENSG00000003393","ENSG00000003393","ALS2","protein_coding",57679
"ENSG00000003400","ENSG00000003400","CASP10","protein_coding",843
"ENSG00000003402","ENSG00000003402","CFLAR","protein_coding",8837
"ENSG00000003436","ENSG00000003436","TFPI","protein_coding",7035
"ENSG00000003509","ENSG00000003509","NDUFAF7","protein_coding",55471
"ENSG00000003756","ENSG00000003756","RBM5","protein_coding",10181
"ENSG00000003987","ENSG00000003987","MTMR7","protein_coding",9108
"ENSG00000003989","ENSG00000003989","SLC7A2","protein_coding",6542
"ENSG00000004059","ENSG00000004059","ARF5","protein_coding",381
"ENSG00000004139","ENSG00000004139","SARM1","protein_coding",23098
"ENSG00000004142","ENSG00000004142","POLDIP2","protein_coding",26073
"ENSG00000004399","ENSG00000004399","PLXND1","protein_coding",23129
"ENSG00000004455","ENSG00000004455","AK2","protein_coding",204
"ENSG00000004468","ENSG00000004468","CD38","protein_coding",952
"ENSG00000004478","ENSG00000004478","FKBP4","protein_coding",2288
"ENSG00000004487","ENSG00000004487","KDM1A","protein_coding",23028
"ENSG00000004534","ENSG00000004534","RBM6","protein_coding",10180
"ENSG00000004660","ENSG00000004660","CAMKK1","protein_coding",84254
"ENSG00000004700","ENSG00000004700","RECQL","protein_coding",5965
"ENSG00000004766","ENSG00000004766","VPS50","protein_coding",55610
"ENSG00000004776","ENSG00000004776","HSPB6","protein_coding",126393
"ENSG00000004777","ENSG00000004777","ARHGAP33","protein_coding",115703
"ENSG00000004779","ENSG00000004779","NDUFAB1","protein_coding",4706
"ENSG00000004799","ENSG00000004799","PDK4","protein_coding",5166
"ENSG00000004809","ENSG00000004809","SLC22A16","protein_coding",85413
"ENSG00000004838","ENSG00000004838","ZMYND10","protein_coding",51364
"ENSG00000004846","ENSG00000004846","ABCB5","protein_coding",340273
"ENSG00000004848","ENSG00000004848","ARX","protein_coding",170302
"ENSG00000004864","ENSG00000004864","SLC25A13","protein_coding",10165
"ENSG00000004866","ENSG00000004866","ST7","protein_coding",c(102466616, 93655, 7982)
"ENSG00000004897","ENSG00000004897","CDC27","protein_coding",996
"ENSG00000004939","ENSG00000004939","SLC4A1","protein_coding",6521
"ENSG00000004948","ENSG00000004948","CALCR","protein_coding",799
"ENSG00000004961","ENSG00000004961","HCCS","protein_coding",3052
"ENSG00000004975","ENSG00000004975","DVL2","protein_coding",1856
"ENSG00000005001","ENSG00000005001","PRSS22","protein_coding",64063
"ENSG00000005007","ENSG00000005007","UPF1","protein_coding",5976
"ENSG00000005020","ENSG00000005020","SKAP2","protein_coding",8935
"ENSG00000005022","ENSG00000005022","SLC25A5","protein_coding",292
"ENSG00000005059","ENSG00000005059","MCUB","protein_coding",55013
"ENSG00000005073","ENSG00000005073","HOXA11","protein_coding",3207
"ENSG00000005075","ENSG00000005075","POLR2J","protein_coding",5439
"ENSG00000005100","ENSG00000005100","DHX33","protein_coding",56919
"ENSG00000005102","ENSG00000005102","MEOX1","protein_coding",4222
"ENSG00000005108","ENSG00000005108","THSD7A","protein_coding",221981
"ENSG00000005156","ENSG00000005156","LIG3","protein_coding",3980
"ENSG00000005175","ENSG00000005175","RPAP3","protein_coding",79657
"ENSG00000005187","ENSG00000005187","ACSM3","protein_coding",6296
"ENSG00000005189","ENSG00000005189","AC004381.6","protein_coding",81691
"ENSG00000005194","ENSG00000005194","CIAPIN1","protein_coding",57019
"ENSG00000005206","ENSG00000005206","SPPL2B","protein_coding",56928
"ENSG00000005238","ENSG00000005238","FAM214B","protein_coding",80256
"ENSG00000005243","ENSG00000005243","COPZ2","protein_coding",51226
"ENSG00000005249","ENSG00000005249","PRKAR2B","protein_coding",5577
"ENSG00000005302","ENSG00000005302","MSL3","protein_coding",10943
"ENSG00000005339","ENSG00000005339","CREBBP","protein_coding",1387
"ENSG00000005379","ENSG00000005379","TSPOAP1","protein_coding",9256
"ENSG00000005381","ENSG00000005381","MPO","protein_coding",4353
"ENSG00000005421","ENSG00000005421","PON1","protein_coding",5444
"ENSG00000005436","ENSG00000005436","GCFC2","protein_coding",6936
